Date, Life Expectancy, Annual % Change,
1950,68.69,,
1951,68.93,0.35,
1952,69.17,0.35,
1953,69.41,0.35,
1954,69.65,0.35,
1955,69.89,0.34,
1956,70.13,0.34,
1957,70.37,0.34,
1958,70.61,0.34,
1959,70.696,0.12,
1960,70.782,0.12,
1961,70.868,0.12,
1962,70.954,0.12,
1963,71.04,0.12,
1964,71.174,0.19,
1965,71.308,0.19,
1966,71.442,0.19,
1967,71.576,0.19,
1968,71.71,0.19,
1969,71.81,0.14,
1970,71.91,0.14,
1971,72.01,0.14,
1972,72.11,0.14,
1973,72.21,0.14,
1974,72.37,0.22,
1975,72.53,0.22,
1976,72.69,0.22,
1977,72.85,0.22,
1978,73.01,0.22,
1979,73.246,0.32,
1980,73.482,0.32,
1981,73.718,0.32,
1982,73.954,0.32,
1983,74.19,0.32,
1984,74.38,0.26,
1985,74.57,0.26,
1986,74.76,0.25,
1987,74.95,0.25,
1988,75.14,0.25,
1989,75.36,0.29,
1990,75.58,0.29,
1991,75.8,0.29,
1992,76.02,0.29,
1993,76.24,0.29,
1994,76.426,0.24,
1995,76.612,0.24,
1996,76.798,0.24,
1997,76.984,0.24,
1998,77.17,0.24,
1999,77.418,0.32,
2000,77.666,0.32,
2001,77.914,0.32,
2002,78.162,0.32,
2003,78.41,0.32,
2004,78.666,0.33,
2005,78.922,0.33,
2006,79.178,0.32,
2007,79.434,0.32,
2008,79.69,0.32,
2009,79.926,0.3,
2010,80.162,0.3,
2011,80.398,0.29,
2012,80.634,0.29,
2013,80.87,0.29,
2014,80.926,0.07,
2015,80.982,0.07,
2016,81.038,0.07,
2017,81.094,0.07,
2018,81.15,0.07,
2019,81.274,0.15,
2020,81.398,0.15,
2021,81.522,0.15,
2022,81.646,0.15,
